"lambda","rmse"
1,26.4524068813814
2,26.5266636992474
3,27.2806285703294
4,25.4630632101472
5,25.4845755952298
6,25.5092540628206
7,25.579204699688
8,25.7188589489519
9,27.2180884067939
10,26.3403508130599
11,26.3498162684355
12,26.3773627576842
13,26.4120381031077
14,26.687169947084
15,26.7186145593245
16,26.808779287799
17,26.985103579059
18,27.8127539663345
19,26.7593417020822
20,26.8731262159257
21,27.4604320539376
22,25.9179747509304
23,25.9030015526381
24,26.0102544632875
25,25.962311967592
26,26.0033617817659
27,26.1595852315262
28,25.601314666609
29,24.7527514000074
30,26.2746042733066
31,26.3797073367449
32,26.6631906722938
33,25.6186870609643
34,25.2292258226143
35,24.1387120782003
36,25.1039482894735
37,26.2148816509047
38,26.3583385692482
39,26.5627921154307
40,26.9342768321149
41,27.5547719524583
42,26.7157468175026
43,26.8478618865057
44,27.034111135773
45,27.3095793750078
46,27.2029693709262
47,27.5992004440031
48,26.7361676248147
49,26.8196272869738
50,26.8345682646735
51,27.0666327469315
52,27.2776746337743
53,27.2954206154671
54,26.9273983536975
55,26.8404829802517
56,26.3780465922971
57,27.6071872429919
58,26.7324046467114
59,26.9097464054429
60,26.7454473388559
61,25.6900850544681
62,26.939821589349
63,25.6780201432571
64,26.6891075977475
65,26.4213397294411
66,26.4472457803691
67,26.498617281693
68,26.614904716545
69,26.3559296460879
70,26.4136818721808
71,26.097991447794
72,26.2480733496949
73,26.2596830752037
74,26.3806387388725
75,26.5475569206331
76,26.7240900890347
77,26.9174097948561
78,26.6062003027449
79,26.6179697898744
80,27.0261375883926
81,26.9340748149289
82,27.290027043832
83,26.6117311830668
84,26.872256908789
85,26.5468823029283
86,26.6595418670121
87,26.8227778144558
88,27.0901773856357
89,27.2713439253981
90,26.1426109139452
91,25.9499641516994
92,26.607588072937
93,26.5689699902961
94,26.7494538010578
95,26.7341740606209
96,26.2990704210935
97,26.4236841568223
98,26.9080764864366
99,26.8982301419566
100,26.8232067156841
101,26.9009700645061
102,26.9142358557451
103,26.6609586925513
104,26.9321883524263
105,26.3273190297266
106,26.4494804312851
107,26.4611922453438
108,25.9269568973182
109,25.9885742962167
110,26.0564471299217
111,25.9714080700818
112,25.958437954444
113,26.0021064060283
114,25.9266519924825
115,25.8815413896595
116,26.0372369911946
117,26.6503335728677
118,26.5988938564483
119,26.6832246606757
120,27.3021539038539
121,26.2815259449229
122,26.3405380289674
123,25.9082092709183
124,25.8441582160958
125,25.5861882819075
126,25.6173330706886
127,25.842588903663
128,25.8739209234872
129,26.005559947114
130,26.0397957457144
131,26.068831180171
132,25.9334435228337
133,25.9822410140312
134,26.0052572338736
135,26.1195023676609
136,26.1170140398938
137,26.1775503120791
138,26.18406058975
139,26.3014921928146
140,26.3891932551298
141,26.5771213696279
142,26.4334781738439
143,26.533694956117
144,26.4150675360598
145,26.7012037562243
146,27.0803762138154
147,26.4651130987899
148,26.7125387708491
149,26.6419558271769
150,26.7258612222064
