species,stress,potential,rep,max.germ,max.germ_perc,germ50,dish.id,t50
sorghum,NaCl,0,1,23,92,46,dish_sorghum_NaCl_p0_r1,32.26923077
sorghum,NaCl,0,2,22,88,44,dish_sorghum_NaCl_p0_r2,29.0625
sorghum,NaCl,0,3,23,92,46,dish_sorghum_NaCl_p0_r3,30.03846154
sorghum,NaCl,0,4,23,92,46,dish_sorghum_NaCl_p0_r4,33.29166667
sorghum,NaCl,0.2,1,0,0,0,dish_sorghum_NaCl_p0.2_r1,NA
sorghum,NaCl,0.2,2,0,0,0,dish_sorghum_NaCl_p0.2_r2,NA
sorghum,NaCl,0.2,3,0,0,0,dish_sorghum_NaCl_p0.2_r3,NA
sorghum,NaCl,0.2,4,0,0,0,dish_sorghum_NaCl_p0.2_r4,NA
sorghum,NaCl,0.5,1,0,0,0,dish_sorghum_NaCl_p0.5_r1,NA
sorghum,NaCl,0.5,2,0,0,0,dish_sorghum_NaCl_p0.5_r2,NA
sorghum,NaCl,0.5,3,0,0,0,dish_sorghum_NaCl_p0.5_r3,NA
sorghum,NaCl,0.5,4,0,0,0,dish_sorghum_NaCl_p0.5_r4,NA
sorghum,NaCl,0.8,1,0,0,0,dish_sorghum_NaCl_p0.8_r1,NA
sorghum,NaCl,0.8,2,0,0,0,dish_sorghum_NaCl_p0.8_r2,NA
sorghum,NaCl,0.8,3,0,0,0,dish_sorghum_NaCl_p0.8_r3,NA
sorghum,NaCl,0.8,4,0,0,0,dish_sorghum_NaCl_p0.8_r4,NA
sorghum,NaCl,1.1,1,0,0,0,dish_sorghum_NaCl_p1.1_r1,NA
sorghum,NaCl,1.1,2,0,0,0,dish_sorghum_NaCl_p1.1_r2,NA
sorghum,NaCl,1.1,3,0,0,0,dish_sorghum_NaCl_p1.1_r3,NA
sorghum,NaCl,1.1,4,0,0,0,dish_sorghum_NaCl_p1.1_r4,NA
sorghum,NaCl,1.4,1,0,0,0,dish_sorghum_NaCl_p1.4_r1,NA
sorghum,NaCl,1.4,2,0,0,0,dish_sorghum_NaCl_p1.4_r2,NA
sorghum,NaCl,1.4,3,0,0,0,dish_sorghum_NaCl_p1.4_r3,NA
sorghum,NaCl,1.4,4,0,0,0,dish_sorghum_NaCl_p1.4_r4,NA
sorghum,NaCl,1.8,1,0,0,0,dish_sorghum_NaCl_p1.8_r1,NA
sorghum,NaCl,1.8,2,0,0,0,dish_sorghum_NaCl_p1.8_r2,NA
sorghum,NaCl,1.8,3,0,0,0,dish_sorghum_NaCl_p1.8_r3,NA
sorghum,NaCl,1.8,4,0,0,0,dish_sorghum_NaCl_p1.8_r4,NA
sorghum,NaCl,2,1,0,0,0,dish_sorghum_NaCl_p2_r1,NA
sorghum,NaCl,2,2,0,0,0,dish_sorghum_NaCl_p2_r2,NA
sorghum,NaCl,2,3,0,0,0,dish_sorghum_NaCl_p2_r3,NA
sorghum,NaCl,2,4,0,0,0,dish_sorghum_NaCl_p2_r4,NA
sorghum,NaCl,3,1,0,0,0,dish_sorghum_NaCl_p3_r1,NA
sorghum,NaCl,3,2,0,0,0,dish_sorghum_NaCl_p3_r2,NA
sorghum,NaCl,3,3,0,0,0,dish_sorghum_NaCl_p3_r3,NA
sorghum,NaCl,3,4,0,0,0,dish_sorghum_NaCl_p3_r4,NA
sorghum,NaCl,4,1,0,0,0,dish_sorghum_NaCl_p4_r1,NA
sorghum,NaCl,4,2,0,0,0,dish_sorghum_NaCl_p4_r2,NA
